700810023-5060;beautyrest-black-mini-waterfall-foundation;1;;889152451195;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"");Size;King;;;;;BR Black2020;;box springs;Beautyrest Black Mini Waterfall Foundation;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810023-5050;beautyrest-black-mini-waterfall-foundation;1;;889152451171;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"");Size;Queen;;;;;BR Black2020;;box springs;Beautyrest Black Mini Waterfall Foundation;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810023-5030;beautyrest-black-mini-waterfall-foundation;1;;889152451164;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"");Size;Full;;;;;BR Black2020;;box springs;Beautyrest Black Mini Waterfall Foundation;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810023-5020;beautyrest-black-mini-waterfall-foundation;1;;889152451157;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","9",CHAR(34)," H",". ",CHAR(10),"");Size;Twin XL;;;;;BR Black2020;;box springs;Beautyrest Black Mini Waterfall Foundation;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810010-1060;beautyrest-black-mattress;1;;889152451454;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;King;Class;L;Firmness;Plush;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810012-1060;beautyrest-black-mattress;1;;889152451515;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;King;Class;L;Firmness;Extra Firm;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810016-1060;beautyrest-black-mattress;1;;889152451751;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;King;Class;C;Firmness;Medium;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810018-1060;beautyrest-black-mattress;1;;889152451874;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;King;Class;C;Firmness;Medium Pillow Top;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810010-1050;beautyrest-black-mattress;1;;889152451447;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Queen;Class;L;Firmness;Plush;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810012-1050;beautyrest-black-mattress;1;;889152451508;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Queen;Class;L;Firmness;Extra Firm;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810016-1050;beautyrest-black-mattress;1;;889152451744;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Queen;Class;C;Firmness;Medium;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810018-1050;beautyrest-black-mattress;1;;889152451867;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Queen;Class;C;Firmness;Medium Pillow Top;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810010-1030;beautyrest-black-mattress;1;;889152451430;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Full;Class;L;Firmness;Plush;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810012-1030;beautyrest-black-mattress;1;;889152451492;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Full;Class;L;Firmness;Extra Firm;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810016-1030;beautyrest-black-mattress;1;;889152451737;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Full;Class;C;Firmness;Medium;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810018-1030;beautyrest-black-mattress;1;;889152451850;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Full;Class;C;Firmness;Medium Pillow Top;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810010-1020;beautyrest-black-mattress;1;;889152451423;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Twin XL;Class;L;Firmness;Plush;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810012-1020;beautyrest-black-mattress;1;;889152451485;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Twin XL;Class;L;Firmness;Extra Firm;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810016-1020;beautyrest-black-mattress;1;;889152451720;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Twin XL;Class;C;Firmness;Medium;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700810018-1020;beautyrest-black-mattress;1;;889152451843;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Full: ","53",CHAR(34)," W"," x ","75",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","16",CHAR(34)," H",". ",CHAR(10),"");Size;Twin XL;Class;C;Firmness;Medium Pillow Top;BR Black2020;;mattresses;Beautyrest Black Mattress;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700754860-7566;beautyrest-black-advanced-motion-base;1;;889152462672;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"Divided King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"");Size;Divided King;;;;;BR Black2020;;power bases;Beautyrest Black Advanced Motion Base;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700754860-7550;beautyrest-black-advanced-motion-base;1;;889152462658;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"Divided King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"");Size;Queen;;;;;BR Black2020;;power bases;Beautyrest Black Advanced Motion Base;FALSE;web;shopify;continue;lb;NEW;BR Black;;
700754860-7520;beautyrest-black-advanced-motion-base;1;;889152462641;==CONCATENATE("",CHAR(10),"",CHAR(10),"",CHAR(10),"",CHAR(10),"Dimensions (in): ",CHAR(10),"Queen: ","60",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"Divided King: ","76",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"Twin XL: ","38",CHAR(34)," W"," x ","80",CHAR(34)," D"," x ","4",CHAR(34)," H",". ",CHAR(10),"");Size;Twin XL;;;;;BR Black2020;;power bases;Beautyrest Black Advanced Motion Base;FALSE;web;shopify;continue;lb;NEW;BR Black;;
