Variant SKU	Handle	Color	Material	Finish	Width	Depth	Height
U1953-SEC-LSF POWER/RSF CHAISE	gisel-sectional	BROWN	Leather Gel / Wood / Metal	n/a	100	113	41
U1953-SEC-LSF W/O POWER/RSF CHAISE	gisel-sectional	BROWN	Leather Gel / Wood / Metal	n/a	100	113	41
U1953-SEC-LSF/RSF POWER	gisel-sectional	BROWN	Leather Gel / Wood / Metal	n/a	100	113	41
U9303C-BR-3PC SEC (SP)	gisella-sectional	BROWN	PU / Wood / Metal	n/a	215	39	40
U3118C-SUBARU COFFEE-SECTIONAL	gladis-sectional	SUBARU COFFEE	Fabric / Wood / Metal	n/a	110	101	40
UM02-BL-SECTIONAL	gracelyn-sectional	BLACK	Leather Gel	n/a	191	29	42
U8137N-2PC SEC (M)	greet-sectional	LT GREY/DK GREY	Bonded Leather / Eucalyptus & Plywood 	n/a	121	92	30/39
U9782N-BL-SECTIONAL (M)	gweneth-sectional	BLACK	PU / Wood	n/a	110	80	31
U9782N-WH-SECTIONAL (M)	gweneth-sectional	WHITE	PU / Wood	n/a	110	80	31
U7303C-SECTIONAL (SP) 	gwyn-sectional	GIN RUMMY CHARCOAL	Printed Microfiber / Wood / Metal	n/a	227	110	41