Given SKU	Given Description	Chosen Collection Name	Computed Handle
116-C2501 S	Splat Back Side Chair (RTA)	Liliana	
116-C9001B	Bench (RTA)	Liliana	
116-P4090	Pedestal Table Base	Liliana	
116-T4090T	Pedestal Table Top	Liliana	
152-P3696	Trestle Table Base	Lilith	
152-T3696	Trestle Table Top	Lilith	
198-C9001 S-TN	Nido Chair - Light Tan (RTA)	Lillia	
244-8650124	Counter Height Chair (RTA)	Magnolia Manor	
244-BR15HU	King Uph Panel Headboard	Magnolia Manor	
244-BR16	King Panel Footboard	Magnolia Manor	
244-BR31	7 Drawer Dresser	Magnolia Manor	
244-BR62	1 Drawer Night Stand	Magnolia Manor	
244-BR64	3 Drawer Bedside Chest w/ Charging Station	Magnolia Manor	
244-BR90	Panel Bed Rails	Magnolia Manor	
425-BR13	Queen Panel Headboard	Essex	
425-BR14	Queen Panel Footboard	Essex	
425-BR31	7 Drawer Dresser	Essex	
425-BR43	Armoire	Essex	
425-BR51	Mirror	Essex	
425-BR61	3 Drawer Night Stand	Essex	
425-BR90	Panel Bed Rails	Essex	
439-BR17HF	Full Uph HB FB	Sun Valley	
439-BR31	6 Drawer Dresser	Sun Valley	
439-BR61	Night Stand	Sun Valley	
439-BR89	Youth Panel Rails	Sun Valley	
455W-BR41	5 Drawer Chest	Abbey Road	
505-BR23F	Queen Panel Footboard	Avalon	
505-BR23H	Queen Panel Headboard	Avalon	
505-BR23R	Queen Panel Rails	Avalon	
535-C6501S	Uph Side Chair (RTA)	Lucca	
535-P4202	Double Pedestal Table Base	Lucca	
535-T4202	Double Pedestal Table Top	Lucca	
585-B650124	Uph Counter Height Chair (RTA)	Low Country	
585-C900124B	Counter Bench (RTA)	Low Country	
585-GT3286	Gathering Table Top	Low Country	
585-GT3286B	Gathering Table Base	Low Country	
589-BR21F	Queen Sleigh Footboard	Linnea	
589-BR21H	Queen Sleigh Headboard	Linnea	
589-BR31	8 Drawer Dresser	Linnea	
589-BR90	Sleigh Bed Rails	Linnea	
62-B250324	Counter Height Swivel Chair (RTA)	Lorna	
652-BR01	Queen Poster Headboard	Farmhouse Reimagined	
652-BR02	Queen Poster Footboard	Farmhouse Reimagined	
652-BR43	Armoire Top	Farmhouse Reimagined	
652-BR43B	Armoire Base	Farmhouse Reimagined	
652-BR90	Panel Bed Rails	Farmhouse Reimagined	
710-BR17HU	Full Panel Headboard	Luciana	
710-BR17S	Full Slat Roll (10 Slats)	Luciana	
710-BR18	Full Panel Footboard	Luciana	
710-BR30	6 Drawer Dresser	Luciana	
710-BR60	2 Drawer Night Stand	Luciana	
710-BR89	Panel Bed Rails	Luciana	
710-BRS0	Mirror	Luciana	
715-HO111	Writing Desk	Lucille	
737-BR03	King Poster Headboard	Lydia	
737-BR04	King Poster Footboard	Lydia	
737-BR31	7 Drawer Dresser	Lydia	
737-BR61	3 Drawer Night Stand	Lydia	
737-BR73	King Poster Rails	Lydia	
759-BR17B	Full Bookcase Headboard	Laina	
759-BR18	Full Panel Footboard	Laina	
759-BR31	8 Drawer Dresser	Laina	
759-BR51	Mirror	Laina	
759-BR60	2 Drawer Night Stand	Laina	
759-BR89	Panel Bed Rails	Laina	