	Color	Material	Finish	Width	Depth	Height
2119-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-ottoman	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	19.7	25.6	17.3
2119-ottoman	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	25.6	25.6	17.3
2119-chair	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	24	42	38
2383-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	123.5/102.7	42	36.5
2383-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	123.5/102.7	42	36.5
430-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	151	120	31/37
430-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	151	120	31/37
430-coffee-table	White	Top-grain Leather Front/Eco Leather Back	N/A	40	40	19
950-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117	41/69(chaise)	30/38
950-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117	41/69(chaise)	30/38
2605-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	135/110	42	30/38
2119-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-sectional	White	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
2119-chair	White	Top-grain Leather Front/Eco Leather Back	N/A	24	42	38
2119-wedge	White	Top-grain Leather Front/Eco Leather Back	N/A	42	42	38
apolo-sectional	Black	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
apolo-sectional	Black	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
2144-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	64	32	18
2144-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117/146	37	37/40
2144-ottoman	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	117/146	37	37/40
2566-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	124/117	39	31/39
argento-sectional-with-bed-and-storage	Brown/Wenge/Walnut	Full Top-grain Leather	N/A	112	84	37
2347-sectional	Black	Top-grain Leather Front/Eco Leather Back	N/A	113/91	40.5	36.5
2347-sectional	Black	Top-grain Leather Front/Eco Leather Back	N/A	113/91	40.5	36.5
533-sectional	Red/Orange/Mahogany/Pink/Purple	Top-grain Leather Front/Eco Leather Back	N/A	123/123	38.5	33/40
2931-sectional-with-recliners	White	Top-grain Leather Front/Eco Leather Back	N/A	107	107	39
apolo-sectional	White, Light Beige	Top-grain Leather Front/Split Leather Back	Shiny	120/105	38	38
apolo-sectional	White, Light Beige	Top-grain Leather Front/Split Leather Back	Shiny	120/105	38	38
312-sectional-with-bed-and-recliner	Black, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	146	42.5	31
312-sectional-with-bed-and-recliner	Black, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	146	42.5	31
9180-sectional	Green, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	137	69	36,5
bergamo-sectional	Light Beige	Fabric, Stainless Steel	N/A	120	41/79	34
2711-sectional-with-recliners	Black, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	133/108	41	42
2711-sectional-with-recliners	Black, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	133/108	41	42
445-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	128/98	40	34/42
445-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	128/98	40	34/42
apolo-sectional	White, Light Beige	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
apolo-sectional	White, Light Beige	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
760-sectional-with-recliner	Brown/Wenge/Walnut, Light Beige	Top-grain Leather Front/Eco Leather Back	N/A	91/111	41	31
760-sectional-with-recliner	Brown/Wenge/Walnut, Light Beige	Top-grain Leather Front/Eco Leather Back	N/A	91/111	41	31
camino-sectional-with-bed	Black	Full Top-grain Leather	N/A	107/109	39	33.5 / 40 with optional headrest
951-sectional-with-recliners	Grey/Silver, Light Beige	Top-grain Leather Front/Eco Leather Back	N/A	117	40/117	38
8312-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	152/108	43	33
8312-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	152/108	43	33
massimo-sectional	White, Grey/Silver, Light Beige	Full Top-grain Leather, Solid Wood	N/A	132	105	31/39
blackberry-chair	Grey/Silver	Fabric	N/A	42	42	34
blackberry-sectional	Grey/Silver	Fabric	N/A	83(3 seater)	42	34
2146-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	145/115	45	33
2146-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	145/115	45	33
apolo-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
apolo-sectional	Brown/Wenge/Walnut	Top-grain Leather Front/Split Leather Back	N/A	120/105	38	38
coco-sectional	Grey/Silver	Full Top-grain Leather	N/A	106	69	33 inch / 38 inch with headrest
ella-sectional-with-bed-and-storage	White, Grey/Silver, Light Beige	Full Top-grain Leather	N/A	97	77	32/38
2119-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	102/126	41	37
6028-sectional	White, Special Order Colors, Brown/Wenge/Walnut	Top-grain Leather Front/Split Leather Back, Special Order Materials	N/A	138	67	37
6311-sectional	Black, Blue, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	106/81	37	37
6311-sectional	Black, Blue, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	106/81	37	37
468-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	114x93	44/93(chaise)	40
468-sectional-with-recliner	Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A	114x93	44/93(chaise)	40
summer-sectional	Blue, Brown/Wenge/Walnut	Fabric, MDF	N/A	105/63	36	36
2619-power-reclining-chair	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	45	40	36
2619-power-reclining-loveseat	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	68	40	36
2619-power-reclining-sofa	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	87	40	36
air-sectional	Brown/Wenge/Walnut	Fabric	N/A	114.75	70.08/38.58	41
viral-sectional-with-recliner	Grey/Silver	Fabric	N/A	110.63	78.74x40.16	41
viral-sectional-with-recliner	Grey/Silver	Fabric	N/A	110.63	78.74x40.16	41
camelia-sectional-with-bed-and-storage	Grey/Silver	Full Top-grain Leather	N/A	107	87	28 headrest folded / 37 headrest unfolded
camelia-sectional-with-bed-and-storage	Grey/Silver	Full Top-grain Leather	N/A	107	87	28 headrest folded / 37 headrest unfolded
1822-sectional-with-bed	Green, Brown/Wenge/Walnut, Grey/Silver	Top-grain Leather Front/Eco Leather Back	Mat	109	69	32
bloom-sectional-with-bed-and-storage	Blue	Fabric	N/A	99	66	42
1807-sectional	Grey/Silver	Top-grain Leather Front/Eco Leather Back	Mat	133	70	26
happy-sectional-with-bed	Grey/Silver	Fabric, Metal	N/A	108	79	32/39
2901-sectional-with-recliner	Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A	107	87	37