Handle,Color,Material,Finish
mangano-nightstand,"White, Grey/Silver","Eco Leather, MDF",High Gloss Lacquer
mangano-dresser,"White, Grey/Silver","Eco Leather, MDF",High Gloss Lacquer
mangano-mirror,"White, Grey/Silver","Eco Leather, MDF",High Gloss Lacquer
mangano-chest,"White, Grey/Silver","Eco Leather, MDF",High Gloss Lacquer
platinum-legno-dresser,"Brown/Wenge/Walnut, Grey/Silver","Wood veneer, MDF",High Gloss Lacquer
platinum-legno-dresser,"Brown/Wenge/Walnut, Grey/Silver","Wood veneer, MDF",High Gloss Lacquer
platinum-legno-wardrobe,"Brown/Wenge/Walnut, Grey/Silver","Wood veneer, MDF",High Gloss Lacquer
platinum-legno-chest,"Brown/Wenge/Walnut, Grey/Silver","Wood veneer, MDF",High Gloss Lacquer
platinum-legno-nightstand,"Brown/Wenge/Walnut, Grey/Silver","Wood veneer, MDF",High Gloss Lacquer
platinum-legno-mirror,"Brown/Wenge/Walnut, Grey/Silver","Wood veneer, MDF",High Gloss Lacquer